name,description,status,priority,completed_tasks,total_tasks,due_date,start_date
Platform Redesign,Complete overhaul of the core product UI,In Progress,High,23,34,2026-09-23,2026-06-01
Mobile App v2,Next generation mobile experience,In Review,High,18,52,2026-09-15,2026-06-12
API Gateway,Unified API gateway with authentication and monitoring,To Do,Medium,0,21,2026-10-01,2026-07-01
Analytics Dashboard,Business intelligence dashboard for KPIs and reports,Done,Low,28,28,2026-05-30,2026-03-15
Design System,Shared component library and design tokens,In Progress,Medium,14,20,2026-09-30,2026-07-10
Authentication Refresh,Improve login security and session handling,In Review,High,9,12,2026-08-28,2026-07-20
Search Improvements,Improve global search relevance and filtering,To Do,Medium,2,18,2026-10-10,2026-08-01
Billing Portal,Customer billing and subscription management,In Progress,High,17,29,2026-09-18,2026-06-25
Performance Audit,Audit frontend and backend performance bottlenecks,Done,Low,16,16,2026-07-31,2026-07-01
Notification Center,Centralized in-app notification experience,To Do,Medium,1,15,2026-10-20,2026-08-05
